phi,gamma,category
0.51,0.21,2
0.51,0.22,2
0.51,0.23,2
0.51,0.24,2
0.51,0.25,3
0.51,0.26,3
0.51,0.27,3
0.51,0.28,7
0.51,0.29,1
0.51,0.2,2
0.51,0.31,1
0.51,0.32,1
0.51,0.33,1
0.51,0.34,1
0.51,0.35,1
0.51,0.36,1
0.51,0.37,1
0.51,0.38,1
0.51,0.39,1
0.51,0.3,1
0.51,0.41,1
0.51,0.42,1
0.51,0.43,1
0.51,0.44,1
0.51,0.45,1
0.51,0.46,1
0.51,0.47,1
0.51,0.48,1
0.51,0.49,1
0.51,0.4,1
0.51,0.51,1
0.51,0.52,1
0.51,0.53,1
0.51,0.54,1
0.51,0.5,1
0.52,0.21,2
0.52,0.22,2
0.52,0.23,2
0.52,0.24,2
0.52,0.25,3
0.52,0.26,3
0.52,0.27,3
0.52,0.28,3
0.52,0.29,1
0.52,0.2,2
0.52,0.31,1
0.52,0.32,1
0.52,0.33,1
0.52,0.34,1
0.52,0.35,1
0.52,0.36,1
0.52,0.37,1
0.52,0.38,1
0.52,0.39,1
0.52,0.3,1
0.52,0.41,1
0.52,0.42,1
0.52,0.43,1
0.52,0.44,1
0.52,0.45,1
0.52,0.46,1
0.52,0.47,1
0.52,0.48,1
0.52,0.49,1
0.52,0.4,1
0.52,0.51,1
0.52,0.52,1
0.52,0.53,1
0.52,0.54,1
0.52,0.5,1
0.53,0.21,2
0.53,0.22,2
0.53,0.23,2
0.53,0.24,2
0.53,0.25,2
0.53,0.26,3
0.53,0.27,3
0.53,0.28,3
0.53,0.29,7
0.53,0.2,2
0.53,0.31,1
0.53,0.32,1
0.53,0.33,1
0.53,0.34,1
0.53,0.35,1
0.53,0.36,1
0.53,0.37,1
0.53,0.38,1
0.53,0.39,1
0.53,0.3,1
0.53,0.41,1
0.53,0.42,1
0.53,0.43,1
0.53,0.44,1
0.53,0.45,1
0.53,0.46,1
0.53,0.47,1
0.53,0.48,1
0.53,0.49,1
0.53,0.4,1
0.53,0.51,1
0.53,0.52,1
0.53,0.53,1
0.53,0.54,1
0.53,0.5,1
0.54,0.21,2
0.54,0.22,2
0.54,0.23,2
0.54,0.24,2
0.54,0.25,2
0.54,0.26,3
0.54,0.27,3
0.54,0.28,3
0.54,0.29,3
0.54,0.2,2
0.54,0.31,1
0.54,0.32,1
0.54,0.33,1
0.54,0.34,1
0.54,0.35,1
0.54,0.36,1
0.54,0.37,1
0.54,0.38,1
0.54,0.39,1
0.54,0.3,7
0.54,0.41,1
0.54,0.42,1
0.54,0.43,1
0.54,0.44,1
0.54,0.45,1
0.54,0.46,1
0.54,0.47,1
0.54,0.48,1
0.54,0.49,1
0.54,0.4,1
0.54,0.51,1
0.54,0.52,1
0.54,0.53,1
0.54,0.54,1
0.54,0.5,1
0.55,0.21,2
0.55,0.22,2
0.55,0.23,2
0.55,0.24,2
0.55,0.25,2
0.55,0.26,2
0.55,0.27,3
0.55,0.28,3
0.55,0.29,3
0.55,0.2,2
0.55,0.31,1
0.55,0.32,1
0.55,0.33,1
0.55,0.34,1
0.55,0.35,1
0.55,0.36,1
0.55,0.37,1
0.55,0.38,1
0.55,0.39,1
0.55,0.3,3
0.55,0.41,1
0.55,0.42,1
0.55,0.43,1
0.55,0.44,1
0.55,0.45,1
